Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
d+3, 4, 4, 4;l, h, l (TC), m (TJ);9, 21, 13, 25;;-14;KND;KND;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;sm (TC);5;10s cs4;-5;+6;+6;
d/b+2;l (TC);14;18~19 cs6~;-14;-1;+12g;
d/b+3 (far);l;13;16;-26;-2;-2;
d/b+3 (clean);l;19;16;-26;+3;+3;
d/b+3, (on hit) 2;l, m;19,18;;;throw;throw;
d/b+4;l;17;22;-13;+1;KND;
d/b+1+2;m;25;20  pc8~;-14;KND;KND;Power crush, Wall bounce
d/b+3+4 (parries low attack);m (parries low attacks);21;22 (parry 2~13);-3;+6;+6;
d/b+3+4 (on parry) 1;m, h;21, 21;;;KND;KND;
b+1;h;13;11~12;-7;+4;+4;
b+1, 2;h, m;13, 15;;-10;+5s;+5s;
b+2;h;14;13;-5;+6;+6;
b+2, 1;h, h;14, 15;;-6;+5;+5;
b+2, 3;h, m;14,17;;-9;+4;CS;
b+3;m;16;17~18;-7;+4;+4;
b+3, 1;m, m;16, 10;;-11;+5;+14;
b+3, 4;m, h;16, 18;;-9;0;0;
b+3, 4, qcf+1+2;m, h, m;16, 18, 23;;-5;KND;KND;
b+3, 4, qcf>1+2;m, h, m;16, 18, 19;;-5;KND;KND;
b+4;h;21;16;-3;+6;+6;Homing, Tail spin
b+4, 4;h, l (TC);21, 13;;-26;KND;KND;
b+4, 4, 4;h, l (TC), h (TJ);21, 13, 25;;-14;KND;KND;recover crouch
b+1+2;m;14;16~17;-8;+6;+6;
b+1+4 (parries h/m punch);m!;35;60 (parry 2~25);KND;KND;KND;
u/b+1;m;25;19;-12;KND;KND;
u or u/f+1;m (TJ);12;18 js9~;-12;-1;-1;
u/b or u or u/f+2;h;17;15~16;-12;+9;+9;
u/b+3;m;25;21 js9~;-17;KND;KND;
u or u/f+3 or BT u/f+3+4;m (TJ);20;25~27 cs11~;-7;+4s;KND;
u/b+4;m (TJ);11;15 js9~;-19;-8;-8;
u or u/f+4;mh (TJ) (CFT on hit);29;15~16 cs9~;-13;Tail spin;Tail spin;
u/f, N, 4;m (TJ);25;23~25 js9~;-11;Launch;Launch;
f, f+2;m (CFO on hit);20;13;-2;+15;+15;
f, f+3;m;21;19~20;-14;Launch;Launch;
f, f+4;m;21;15;-3;+7;+7;
f, f+4~3;h;21;32~33;+8;CS;CS;
f, f+1+2;m;23 (34 on clean hit);15~16;-13~14;KND;KND;
f, f+3+4;m (TJ);22;19~21 js10~;-8~-6;KND;KND;
qcf+2;m;14;16;-8;0;0;
qcf+2, 2;m, m;14, 17;;-14;-1;-1;
qcf+2, 2, b,f+1+2;m, m, m;17, 17, 25;;-16;KND;KND;
qcf+2, 2, b,f,f+1+2;m, m, m;17, 17, 30;;-16;KND;KND;
WR+1 or f, f, f+1;h;24;13~15;+7~+9;KND;KND;
FC+1;sm (TC);5;10s;-5;+6;+6;
FC+2;sm (TC);8;11s;-4;+7;+7;
FC+3;l (TC);12;16s;-17;-3;-3;
FC+4;l (TC);10;12s;-15;-4;-4;
FC+d/f+2;m;28;12;-14;KND;KND;
FC+ d/f+3;l (TC);20;20s;-26;KND;KND;
WS+1;m;12;13~14;-3;+4;+4;
WS+1, 2;m, h;12, 18;;-5;+6;+6;
WS+1, 4;m, m;12, 20;;-12;KND;KND;
WS+2;m;15;15~16;-12;Launch;Launch;
WS+3;m;14;14~15;-8;+3;+3;
WS+3, 2;m, m;15, 23;;-13;KND;KND;Wall bounce
WS+4;m;13;11~12;-4;+7;+7;
WS+4, 2;m, h;13, 12;;-6;+8;+8;
SS+1;m;18;18;0s;+5s;KND;
SS+4;h;21;16;-6;CS;CS;Tail spin
Opponent down d+2;l;27;23;-13;-7s;-7s;
1+3+4;(special);;;;;;
Back agains wall b, b, u;m (TJ);21;36 js5~;0s;KND;KND;
BT 1 or 2;h;15;8;-8;+3;+3;
BT d+1 or d+2;sm (TC);10;10 cs1~;-2;+9;+9;
BT d+3 or d+3;l (TC);12;10 cs1~;-11;+3;+3;
f+3+4 (CF0);(CF0);;44;;;;
CF0 1;h;22;19;4;KND;KND;
CF0 2;m;17;17;-9;+4;CS;
CF0 3;h;28;26~27;-1;Tail spin;Tail spin;Tail spin
CF0 4;m;20;28;+8;KND;JG;
CF0 or CFT b;(special);;40 js11~;;;;
CF0 or CFT b, 1;h!;45;16~18;-;KND;KND;
CF0  f (HAE);(HAE);;43;;;;
HAE 1;m;17;16;-6;CS;CS;
HAE 2;l (TC);25;20~21s cs8~;-13;+4s;JG;
HAE 1+2;h;25;16;+14;KND;KND;
b+3+4 (CFT);(CFT);;44;;;;
CFT 1;m;27;20;-10;KND;KND;
CFT 2;h;17;14~15;-9;+2;+2;
CFT 2, 3;h, m;17, 15;;-6;+5;+5;
CFT 2, 3, 1;h, m, m;17, 15, 25;;-7;KND;KND;Wall bounce
CFT 3;h;23;13~14;-4;+11kg;Tail spin;Tail spin
CFT 4;l (TC);10;19~20;-26 11cs~;KND;KND;
CFT 4, 4;l (TC), h, (TJ);10, 25;;-14s;KND;KND;
CFT 1+2;m;27;17;-10;KND;KND;
CFT f (TAW);(TAW);;45;;;;
TAW 1;m;30 (45);22;+6;KND;KND;
TAW 2;m;22;15;-7;KND;KND;
TAW 3;m;19;17;-6;+4;+4;
TAW 3, 1;m, m;19, 21;;-6;+9;KND;
TAW 4;l;23;20;-12;KND;JG;
b+1+3 or b+2+4 (UP);(parries h/m punch);;(parry 2~10);;;;
UP 2;h;9;;-13;+8;+8;
UP 2, 1;h, h;9, 9;;-13;+8;+8;
UP 2, 1 (on hit) 2;h, h, h;9, 9, 20 (22);;-13;KND;KND;
