template;https://gfycat.com/ifr/{url}
WS+1+2;PastelVioletGoldenretriever
While down (facing down) 2;LongImpishKiwi
Opponent down db+4;FewUnlinedHammerkop
db+3, 4, 1+2;NegligibleBigheartedGoldeneye
b+2+3, 1+2;ThunderousEllipticalGalah
While down (facing down) d+2 (only during hit from front);ImaginativeIcyCowbird
VTS 1+2;BrokenBouncyEgg
Time with enemy attack... b+1+3 (or b+2+4);ColdAromaticAmericanredsquirrel
MNT 1;BonyNewAntlion
MNT 1+3;ChubbyDishonestGrunion
MNT 2;BraveSpeedyCockatoo
MNT 2+4;WelcomeAdvancedFlickertailsquirrel
MNT 1+2;LonelyLimpingBobwhite
MNT 3+4;CluelessFabulousHoki
3+4;HauntingJauntyGoral
1, 2, 3+4;GivingBigheartedIrishwaterspaniel
df+3, 1, 2, 3+4;DefenselessPointedKoala
df+3+4;IllinformedTidyEasternnewt
f+3+4, 3+4;CompetentShinyIcefish
db+3, 1, 1, 3+4;LastSilkyBigmouthbass
db+3+4;IllinformedTidyEasternnewt
ub+1+2, 3+4;MediumVengefulFox
SS+2, 3+4;GraveBiodegradableAfricanparadiseflycatcher
WS+1, 3+4;AgreeableHorribleAmphiuma
MNT u (or d);UnevenUnnaturalFishingcat
VTS 1+3;HatefulHeartfeltBlackrhino
VTS 2+4;RealisticFickleBedlingtonterrier
VTS f+1, 2;SinfulBrightAfricanclawedfrog
VTS f+1, 4;DecimalHonestBlackrhino
VTS d+1+2;RelievedHideousAlbatross
VTS f+2;FlashyFearlessKusimanse
in rage b+1+2;LegitimateMerryCuttlefish
in rage f+2+3;CourageousNeighboringHorseshoebat
b+2+3 (b, b to cancel);CleverPolishedBeauceron
f+3+4;UnfitBrokenAzurevase
Approach enemy... 1+3;InfiniteFirmAxisdeer
Approach enemy... 2+4;SorrowfulHeavenlyAndalusianhorse
Approach enemy... f+1+3;InfiniteFirmAxisdeer
Approach enemy... f+2+4;SorrowfulHeavenlyAndalusianhorse
Approach enemy... f, F+1+2;AfraidNastyIndigobunting
Approach enemy... f, hcf+1;LittleEntireIrishdraughthorse
Approach enemy... qcf+1+3;TautDesertedInchworm
Approach enemy... qcf+2+4;ExcitableGrossGermanshepherd
Approach enemy... qcb+1+2;BruisedWearyAnemoneshrimp
Approach from left side... 1+3 (or 2+4);EvergreenBewitchedGoshawk
Approach from right side... 1+3 (or 2+4);DearImpossibleCowrie
Approach from behind... 1+3 (or f+1+3);VacantOptimalAnchovy
Approach from behind... 2+4 (or f+2+4);KindlyFlatFox
Approach (crouching enemy) d+1+3;CompleteEssentialFantail
Approach (crouching enemy) d+2+4;AdvancedAcceptableBubblefish
Opponent down db+1+3;UntriedGreedyHoneyeater
Opponent down by the feet... db+2+4;TameOpenChickadee
Opponent down by the head... db+2+4;ThisFrequentGonolek
(Enemy on back) by enemy's side... db+1+3 (or db+2+4);GrimyAgonizingElephantseal
(Enemy face down) by enemy's side... db+1+3 (or db+2+4);BrokenIllAsianconstablebutterfly
Approach mid-air enemy... 1+3 (or f+1+3);DisgustingIdealisticAfricanmolesnake
Approach mid-air enemy... 2+4 (or f+2+4);GeneralFaroffElephant
Approach mid-air enemy... f, F+1+2;AnchoredAdmirableIraniangroundjay
During enemy wall stun... 1+3 (or 2+4);RespectfulSoreBluefintuna
