template;https://gfycat.com/ifr/{url}
FCD or SLD 2 (or While facing down... 2);SpecificConcernedBorer
KND or PLD 1 (or d+1);EmotionalPitifulGoose
KND or PLD 2 (or While facing down... 2);SpecificConcernedBorer
KND or PLD 1+2+3;ConstantGrippingBettong
db+3+4;BlindGrippingCats
4~3;AcademicVigorousDartfrog
FCD 4~3;AcademicVigorousDartfrog
FCD 3;BlushingCarefulCowrie
FCD 3+4;WellwornAccomplishedBeardedcollie
BT 1+2, 2;BewitchedWhisperedEeve
DRU uf+1+2;DeepSimpleKoi
PHX 1, D;IncompleteGargantuanAgouti
SLD 4~3;DeadlySnarlingHoneybee
SLD 3+4;BowedAffectionateAsp
SLD d+3+4;ResponsibleBetterDesertpupfish
3+4;NervousHotAldabratortoise
f, N, 1, u (or d);AdolescentHardAltiplanochinchillamouse
PHX 4;GiftedSoreKinglet
SNA 1, 1, 1, 1, 1;EmbellishedElaborateGreatargus
SNA (1), 1, 1, 1, 1;EmbellishedElaborateGreatargus
SNA 1, 2;GrandioseClosedFish
SNA 1, 2, 1, 2;AccurateWeakAfricanelephant
SNA 2, 2, 2;FancyBlondArmadillo
SNA (2), (2), 2;FancyBlondArmadillo
SNA 3;DelectableUnluckyFrog
SNA 4;AjarAfraidAmericankestrel
SNA 1+2;GrandioseClosedFish
3+4, 3;LeftMeanEft
f, N, 1, 2, 1, 2, u (or d);SecondRichGenet
SS+1, F;ReflectingDefensiveGoldeneye
TGR 1;ScornfulWhichArizonaalligatorlizard
TGR 2, 2;AnotherImmediateAffenpinscher
TGR 3;AccurateSociableFallowdeer
TGR 3, f+4;InformalIncompatibleAmericanquarterhorse
TGR [3], f+4;InformalIncompatibleAmericanquarterhorse
TGR 4;LoathsomeFirsthandArmyworm
TGR 1+2;UniformSeparateCoypu
f, F+2;VigorousMerryHuia
PHX 2;SourCandidBats
in rage df+3+4;MedicalHarshDartfrog
PHX f+4;SimpleWarlikeHoverfly
Approach enemy... 1+3;EqualWatchfulJaguar
Approach enemy... 2+4;LawfulCoordinatedBanteng
Approach enemy... f+1+3;EqualWatchfulJaguar
Approach enemy... f+2+4;LawfulCoordinatedBanteng
Approach from left side... 1+3 (or 2+4);FreeRegalGoosefish
Approach from right side...  1+3 (or 2+4);ShockingUniqueGoosefish
Approach from behind... 1+3 (or 2+4);WealthySpiffyEider
Approach enemy... uf+1+2;TerribleEnormousJanenschia
Approach enemy... f, F+1+2;GregariousThirdAllosaurus
