Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
b+1~2 (1,2,1,2,1,2);mmmm;2,2,2,2,2,2,2,21;14(14);-14;KND;KND;
b+2;m;12;15 RC;-14;-7;-7;
b+2, 1;m, m;12,13;15 RC;-5;+1;+3;
b+2, 1, 2;m, m, m;12,13,22;15;-12;KND;KND;
b+2, 1, d+2;m, m, l (TC);12,13,20;15;-22;KND;KND;
b+4;m;14;15;-10;+1;+8;
b+4, 1;m, m;14,24;15;-7;KND;KND;
b+1+2;h;19;10~11;-13~-12;KND;ATD;
u/b or u or u/f+1;m (TJ);15;18~19;-6~-5;+5~+6 (+12 OC);+5~+6 (+12 OC);
u/f+2;m;17;21;-8;+5;+5;Homing
u/f+2, 1+2;m, m;17,22;21;-14;KND;CS;
u/f+1+2;m (TJ);28;18~23;-10~-5;-2~+3 (SH);-2~+3 (SH);
u/f+1+2, 3+4;m (TJ);28;18~23 RC;-2~+3;+6~+11 (SH);+6~+11 (SH);
f, F+2;m;18;17~18 (18~);-9~-8;+5~+6;Throw(0);
f, F+3;m;25;25~26 (26~);+4~+5OC;KND;KND;
f, F+4;m;24;17~18 RG (18~);-24~-23;KND;KND;
f, F+1+2;h;15;13(14~);-8;CS;CS;
f, F+3+4;m (TJ);50;39~41 RG (40~);+7~+9;KND;KND;
b, f+1;m;24;30~32 (30~);-14~-12;+9~+11OB;+9~+11OB;
b, f+2;m (TC);22;32~33 (32~);+5~+6;Launch;Launch;
b, d/b, d, D/F+1;m;23;26~27 (30~);-18~-17;Launch(JG?);Launch(JG?);
b, d/b, d, D/F+2;m;35;22 RC(26~);-6~-5;KND;KND;Wall bounce
f, f, f+1+2 or WR+1+2;m;35;24(27~);+9;+32 GB;+32 GB;
WS+1;m;12;13~14;-3~-2;+8~+9;+8~+9;
WS+1, 2;m, l (TC);12,19;13~14;-13;+0 OC;+0 OC;
WS+2;m;17;16~17;-13~-12;Launch;Launch;
WS+1+2;m;14;19~20;-14~-13;Launch;Launch;
WS+1+2, 1+2;m, m;14,17;19~20;-11~-10 OC;+23~+24 GB;KND;
FC+d+1;l (TC);10;19~20 RC;-8~-7;+2~+3;+2~+3;
FC+d+1, 1;l (TC), l (TC);10,8;19~20 RC;-5;+6;+6;
FC+d+1, 1, 1;l (TC), l (TC), m;10,8,12;19~20 RC;-14;-3;-3;
FC+d+1, 1, 1, 2;l (TC), l (TC), m, m;10,8,12,12;19~20 RC;-19;-8;-8;
FC+d+1, 1, 1, 2, 1;l (TC), l (TC), m, m, h;10,8,12,12,12;19~20;-6;+14OB;+14OB;
FC+d+1, 1, 1, 2, d/f+1;l (TC), l (TC), m, m, m;10,8,12,12,15;19~20 RC;-2;+8;+8;
FC+d+1, 1, 1, 2, d+1;l (TC), l (TC), m, m, l (TC);10,8,12,12,8;19~20 RC;-11;-1;-1;
FC+d/f+1;m;9;17~19 RC;-9~-7;+2~+4;+2~+4;
FC+d/f+1, 2;m, m;9,12;17~19 RC;-8~-7;+2~+3;+2~+3;
FC+d/f+1, 2, 1;m, m, m;9,12,12;17~19 RC;-8;+8;KND;
FC+d/f+2;m;20;14~15;-12~-11;Tail spin;Tail spin;Tail spin
FC+d or d/f+1+2;l (TC);24;23~24s;-23~-22;KND;KND;
SS+1;h;25;17~19 (26~);-9~-7;Launch;Launch;
BT 1+2;m (TJ);51;30~43 RG;-2~+11;KND;KND;
1+2+3+4;(Special);;30~43;;;;
3+4 (to SIT);(Special) (TC)(SIT);;(3F~ Air);;;;
u/b or u or u/f+3+4;m (TJ), (Special) (TC);23;34~39;+13~+18 OC;KND;KND;
u/b or u or u/f+3+4 (After stance ends);m (TJ), (Special) (TC);23;34~39;-32~-27 OC;KND;KND;
Grounded face up 1+2;m, (Special) (TC);12;25~27;+5~+7 OC;+16~+18;+16~+18;
Grounded face up 1+2 (After stance ends);m, (Special) (TC);12;25~27;-19~-17 OC;-9~-7;-9~-7;
SIT1;m;30;27(47~);-4;KND;CS(17);
SIT2;l (TC);11;19 RC(39~);-17;Launch;Launch;
SIT1+2;m (TJ);38;30~43 RG (50~);-2~+11;KND;KND;
SIT3+4;l (TC);22;25~58 RG (45~);-29~+4;KND;KND;
SITd;(Special) (TC);; RC;;;;
SIT d, f;(Special)(Absorbs 1 h/m hit);;;;;;
SIT d, f, 1+2;m;15;26 (pc8~26);-12;Throw(0);Throw(0);Power crush
SIT d, d or u;m;;30(75~);;;;
