template;https://gfycat.com/ifr/{url}
Approach enemy... f+1+3;EdibleAnchoredGlowworm
Approach enemy... f+2+4;EasySpotlessCommongonolek
df+3+4 (close);FlawedInsistentEyelashpitviper
Approach from left side... 1+3 (or 2+4);HospitableFrankKissingbug
Approach from right side...  1+3 (or 2+4);FortunateAdorableEeve
Approach from behind... 1+3 (or f+1+3);BouncyHardtofindCorydorascatfish
Approach from behind... 2+4 (or f+2+4);MadBigheartedJavalina
Approach enemy... u+1+2;ExcellentGraciousIaerismetalmark
Approach enemy... f, hcf+1;LivelyJadedEeve
Approach enemy... f, hcf+2;HelplessAbleCatfish
Approach enemy... df+2+3;PleasantSpecificBronco
Approach enemy... qcf+1;PoisedDeafeningGavial
(During Pile Driver) 1+2, 1+2;QueasyMeanCassowary
(During Pile Driver) 1+2, 3, 4, 1+2;GrossDependableKakapo
Approach enemy... db+2+3;BoilingMiserlyBelugawhale
Approach enemy... db, f+2+4;WindySomberCopepod
Approach enemy... b+1+2;ReflectingExcellentAfricanclawedfrog
Approach enemy... b+1+2, 1+3;FirstJoyousIrishwolfhound
Approach enemy... b+1+2, 2+4;LavishShallowBluebottlejellyfish
Approach enemy... b+1+2, 3+4;ForsakenDazzlingEthiopianwolf
Approach enemy... b+1+2, 1+2;IllustriousIllustriousAmericanbulldog
Approach enemy... qcb+1+2;AmpleDistantIggypops
Approach enemy... f, f, f+2+4;HeftyHalfIndianglassfish
FC+db, d, db+1+2;ThreadbareBriefIbisbill
FC+1+2;SpectacularInfatuatedFlickertailsquirrel
(During Tackle) 1+2;WindingSolidHamadryad
(During Cross Arm Lock) 1+2;ExcellentAggressiveGermanspitz
(During tackle) 3+4;AjarAngryAlbacoretuna
(During Leg Cross Hold) 1+2;CompassionateHardLaughingthrush
Approach crouching enemy... d+1+3;FocusedPhysicalHummingbird
Approach crouching enemy... d+2+4;GrossAnxiousGalapagoshawk
(Enemy on back) by the feet... db+1+3 (or db+2+4);UnrulyFickleKid
(Enemy on back) by the feet... DB+1+3;ShamefulDefensiveKitty
(Enemy on back) by the feet... DB+2+4;BoilingMiserlyBelugawhale
(Enemy on back) by the head... db+1+3 (or db+2+4);FeistyEnchantedAntipodesgreenparakeet
(Enemy on back) by enemy's side... db+1+3 (or db+2+4);JovialNeedyHarvestmouse
(Enemy face down) by the feet... db+1+3 (or db+2+4);BouncyHardtofindCorydorascatfish
(Enemy face down) by the head... db+1+3 (or db+2+4);DeadJitteryAmphiuma
(Enemy face down) from the left... db+1+3 (or db+2+4);SeparateColorfulGrayreefshark
(Enemy face down) from the right... db+1+3 (or db+2+4);FavoriteSilkyGoitered
Approach mid-air enemy... 1+3 (or f+1+3);DefiniteEcstaticAfricanaugurbuzzard
Approach mid-air enemy... 2+4 (or f+2+4);MarvelousPleasingAfricanfisheagle
Approach mid-air enemy... f, hcf+1;GiganticBraveFinnishspitz
Approach mid-air enemy... f, f, f+2+4;ValuableIncomparableAnkolewatusi
Approach mid-air enemy... d+1+3 (or d+2+4);UnawareScarceDungenesscrab
(During Double Heel Hold) 1+2, 1+2;SphericalMindlessGnu
(During Double Heel Hold) 2, 1, 3, 4;LivelyJadedEeve
During enemy wall stun... f, hcf+1;AccomplishedFrighteningChevrotain
Approach enemy... f, N, d, DF+2+3;TenderTiredDogwoodclubgall
(During Standing Heel Hold) 1+2, 1, 3, 1+2;UnselfishInfatuatedFennecfox
(During Indian Death Lock) 1, 3, 4, 1+2, 3+4;LikelyGroundedBoar
(During Standing Heel Hold) 1+2, 3, 1, 1+3;CreepyKaleidoscopicEasteuropeanshepherd
Approach enemy... f, N, d, DF+1+4;TenderTiredDogwoodclubgall
(During Arm Breaker) 1+2, 1+2;OccasionalCapitalBuck
(During Arm Breaker) 1+2, 4, 2+4;InfantileFloweryAfricanclawedfrog
(During Head Jammer) 4, 3, 4, 3+4, 1+2;QuarterlyMarriedAiredaleterrier
(During Arm Breaker) 2, 1, 1+2;LastWhiteIndigobunting
(During Chicken Wing Face Lock) 2, 1, 3, 1+2+4, 1+2+4;EmbarrassedCoolJackrabbit
(During Chicken Wing Face Lock) 1+3, 3+4, 2+4, 1+2, 1+2+3;ShortImpishAmmonite
Approach enemy... df+1+3;SardonicZealousIbadanmalimbe
(During Reverse Arm Slam) 2, 1, 1+2;AdmirableIllegalBrownbear
(During Backdrop) 3+4, 1+2;BiodegradableUnimportantFrigatebird
(During German Suplex) 1, 2, 3+4;WebbedFickleHarrierhawk
(During Power Bomb) 2, 1, 3, 4;LivelyJadedEeve
(During Power Bomb) 3, 1, 2, 3+4, 1+2+3+4;AmpleDistantIggypops
(During Blind Kick Hit) BT 1+2;TenseBlondBoutu
Approach enemy... df+2+4;FrighteningWellinformedJunco
Approach crouching enemy... df, DF+1+3 (or 2+4);FrighteningWellinformedJunco
SS+2+4;FrighteningWellinformedJunco
(During Reverse Special Stretch Bomb) 2, 2, 1+2;GreenImpressiveBasenji
(During Cannonball Buster) 3+4, 1+2, 1+2+4;DrearyCapitalAngora
(During Manhattan Drop) 1, 2, 3+4, 1+2;BlankThoughtfulBuzzard
(During Victory Bomb) 2, 1, 3, 4;LivelyJadedEeve
(During Victory Bomb) 3, 1, 2, 3+4, 1+2+3+4;AmpleDistantIggypops
JGS, 1+4 (or 3+4, 2+3);LittleConsiderateGrub
(During Cobra Clutch) 2+4, 1+2, 1+2;BlaringFrigidChinesecrocodilelizard
(During Cobra Clutch) 3+4, 3+4, 1+2;CalculatingVibrantBlobfish
(During Sleeper) 1, 1, 1+2;EntireComposedAltiplanochinchillamouse
(During Sleeper) 3, 4, 1+2, 3+4;KindlyCloudyJaeger
Approach enemy... 3+4, 1+4 (or 3+4, 2+3);LittleConsiderateGrub
(During Cobra Clutch) 1, 4, 2, 3;MadBigheartedJavalina
(During Cobra Twist) 2, 1, 1+3 (or 2, 1, 2+4);EarnestWateryGypsymoth
(During Reverse DDT) 1+2, 1, 2, 1+2+3 (or 1+2, 1, 2, 1+2+4);FrighteningWellinformedJunco
(During Reverse DDT) 2, 3, 1, 1+2;PlayfulGoldenBlesbok
(During Reverse Special Stretch Bomb) 3+4, 1+2;AdmirableIllegalBrownbear
(During Backdrop) 1+2, 4, 1+2, 1+2+3;NaughtyAgreeableIggypops
(During Backdrop) 1+2, 3, 4, 1+3 (or 1+2, 3, 4, 2+4);LastWhiteIndigobunting
(During Burning Hammer) 2+4, 3+4, 1+3, 1+2, 1+2+3 (or 2+4, 3+4, 1+3, 1+2, 1+2+4);LimpAngelicCoati
(During Tackle) 12, 12, 12, 12;ChillyGranularGartersnake
Time with enemy right punch... b+1+3;InbornWeeAmericanpainthorse
Time with enemy left kick... b+2+4;ElementaryNeatBlackfly
Time with enemy right kick... b+2+4;InfamousGracefulCatfish
