template;https://gfycat.com/ifr/{url}
 LFS 4;ScalyInfiniteJaguar
 LFS d+3, 4;AnxiousCarefreeAustraliansilkyterrier
RFF 3, 4;ObesePowerfulBaldeagle
RFF f+4;CircularGranularChick
 RFS 3+4;CrispCleverGalapagosdove
 RFS 1;AgonizingLegalLacewing
 RFS 2;BitesizedTornBass
 RFS 3;GraciousSociableFalcon
 RFS 4;MintyEnchantingLaughingthrush
 RFS f+3, 4;PlainFreshAnglerfish
 RFS df+4;FreshBetterHamster
 RFS d+3;FalseEnlightenedKomododragon
 RFS d+4, 3;RedHardtofindIslandcanary
 RFS b+3;EveryAshamedCalf
RFF 1+2;AgonizingFirsthandBagworm
3+4;SillyUnhappyCrocodile
4, 4, 4, 4;GlumDefiniteFattaileddunnart
4, f+4;ComposedGiantKangaroo
4, 4, f+4;MajesticInconsequentialIndochinesetiger
uf+4, 4, 4;HeftyDimpledCreature
f+2;BestWelloffIndianpalmsquirrel
f, F+3;FlawedEducatedJuliabutterfly
f, F+4;UnlinedUnacceptableGrouse
df+4;ScaredSpicyDugong
b+4;CarelessDisguisedCygnet
SS+4;ElaborateBlackAnkolewatusi
WS+4, 4;RapidImperturbableAmoeba
 LFS 2;HardQuickAfricancivet
 LFS f+4, 3;ExaltedSecretAsiansmallclawedotter
 LFS db+4;SilverBoringHarborseal
 LFS b+4;MilkyPreciousDugong
 RFS 2;BitesizedTornBass
 RFS f+4, 4;SafeFelineFrog
BT LFF 4;YawningVeneratedBat
RFF 2, 4, 3;WellmadeFaintGlowworm
RFF 3, f+4;HelplessBitesizedBrahmanbull
RFF 4, 3;SimilarBaggyDrafthorse
RFF f+4~4;FirstAdvancedHypacrosaurus
RFF df+4;MessyPitifulAlbertosaurus
RFF d+4;OldfashionedLateAzurevasesponge
RFF b+2;TotalSolidDipper
RFF f, F+4, 3;OrderlyHeavyGoose
RFF 3+4;SillyUnhappyCrocodile
RFF 1, 1;ComplexJauntyFluke
RFF 2, 1, 1;DelightfulDenseHypsilophodon
RFF 2, 3;SardonicDimpledBackswimmer
RFF 2, 4, 4;TautLimitedHousefly
RFF 2, b+4;FarawayFantasticDassierat
RFF 4, 4;SinfulTeemingBluefish
RFF df+3;OrderlyHeavyGoose
RFF db+3, 3;FragrantLivelyAfricanbushviper
RFF b+3;CarelessDisguisedCygnet
RFF b+4;InsistentLimitedAddax
RFF f, F+3;GeneralBlandGraysquirrel
(During BT RFF) 3;YawningVeneratedBat
(During BT RFF) BT 4, 3;LeafyFastBlackrhino
(During BT RFF) BT d+3;PlushGleefulJackal
df+3, 4;HelplessTimelyIberianmole
 LFS df+3, 4;QueasyQuickAlligatorgar
 LFS b+3;WaterloggedBelatedBufeo
 RFS b+4;IlliterateDecimalDuckling
RFF 3~4;WaryFlatAdeliepenguin
in rage FS d+3+4;ShamefulMajesticAmericanbittern
in rage d+3+4, 4;LividFlawlessHornedtoad
in rage uf+3, 4, 3+4;CarefulHalfKiwi
in rage LFS uf+3, 4, 3+4;NeedyHarmfulGosling
db+3+4 (b, b to cancel);PointedDisgustingDrafthorse
LFS 1+4 (b, b to cancel);WelllitPlaintiveBedbug
Approach enemy... 1+3;BravePlainIbizanhound
Approach enemy... 2+4;DisastrousDistantEthiopianwolf
Approach enemy... 2+4, B;IllfatedDeliciousBlacklab
Approach enemy... f+1+3;BravePlainIbizanhound
Approach enemy... f+2+3;ViciousShadowyIberianmole
Approach enemy... f+2+4;WarmheartedGraciousGallinule
Approach enemy... qcb+3;FineTornIbis
Approach enemy... db+1+3;MarvelousTartCicada
Approach from left side... 1+3 (or 2+4);FirstSpryDaddylonglegs
Approach from right side... 1+3 (or 2+4);CautiousLimpGermanwirehairedpointer
Approach from behind... 1+3 (or 2+4);ForsakenBrilliantAegeancat
Approach mid-air enemy... df+3+4;BelovedDefensiveAdamsstaghornedbeetle
RFF Approach enemy... 1+3 (or 2+4);GloriousAdventurousImago
