Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
NSS d+3;l (TC);16;15~16 RC;-18~-17;-4~-3;-4~-3;
NSS d+4;l (TC);9;12 RC;-13;-2;-2;
NSS d/b+1;Sm (TC);6;11 RC;-5;+6;+6;
NSS d/b+2;m;10;15 RC;-5;+6;+6;
NSS d/b+3;l (TC);13;18~19 RC;-25~-24;-14~-13;-14~-13;
NSS d/b+4;l;18;17;-12;-1;-1;
NSS d/b+3+4j;l (TC);16;16 RC;-17;-3;-3;
NSS FC+1;Sm (TC);6;10 RC;-5;+6;+6;
NSS FC+2;Sm (TC);10;11 RC;-4;+7;+7;
NSS FC+d/b+3;l (TC);13;18~19 RC;-25~-24;-14~-13;-14~-13;
NSS FC+d+3;l (TC);16;16 RC;-17;-3;-3;
NSS FC+d/b or d+4;l (TC);13;12 RC;-15;-4;-4;
NSS WS+1;m;20;14~15;-10~-9;+1~+2;+6~+7;
NSS WS+2;m;21;15 RBT;-4;+7;+7;
NSS WS+1+2;m;16;10~11;-4~-3;+7~+8;+7~+8;
NSS WS+3 or 3+4;m;16;16;-6;+3;+3;
NSS WS+4;m;18;11~12;-6~-5;+5~+6;+5~+6;
NSS d/f+1;m;18;13;-4;+5;+5;
NSS d/f+2;m;17;15~16;-7~-6;Launch (JG?)(+4);Launch (JG?);
NSS d/f+3;m;13;17~18s;-4~-3;+4~+5;+4~+5;
NSS d/f+4;m;20;12;-9;+4;+4;
NSS u/b or u or u/f+1;m (TJ);16;18;-8;+3;+3;
NSS u/b or u+2;h;28;15;-12;+9 GB;+9 GB;
NSS u/f+2;l (TJ);25;35 RC;-18;+4;KND;
NSS u/b or u+3;m (TJ);33;23;-29;KND;KND;
NSS u/f+3;m (TJ);20;15;-13;Launch (JG?);Launch (JG?);
NSS u/b+4;m (TJ);22;20;-19;KND;KND;
NSS u or u/f+4;m (TJ);28;20;-9;KND;KND;Homing
NSS SS+1;m;28;17(26~);-9;+2;Launch (JG?);
NSS SS+2;m;27;18(27~);-13;Launch;Launch;
NSS SS+3;h;20;12(13~);-9;+5;KND;
NSS SS+4;h;28;16(25~);0;KND;CS;Homing, Tail spin
NSS BT 1;h;21;15 RBT;-6;+5;+5;
NSS BT 2;h;24;16;-4;+k;SCD;Tail spin
NSS BT 3;m (TJ);27;24~25 RBT;-3~-2;KND;KND;
NSS BT 1+2;h;20;8;-8;+3;+3;
NSS BT 4;h;33;10;-8;KND;KND;
NSS BT d/b+2;m;10;15SB;-5;+6;+6;
NSS BT d or d/f+2;Sm;13;10 RC;-2;+9;+9;
NSS BT d+4 or d+3;l;16;10 RC;-8;+3;+3;
