Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
f, F+2;m(, (throw));17(,20);13(14~) ,67 pc6~12;-13;Throw(KND);Throw(KND);Power crush
f, F+4;m;21;20~21 (21~);-7~-6;KND;KND;
b, f+2;m;12;15~16 (15~);-12~-11;-~01;FS (+6~+7) 19~20;
b, f+2, 1;m, m;12,9;15~16 (15~);-14~-13;-1~0;-1~0;
b, f+2, 1, 4;m, m, h;12,9,20;15~16 (15~);-6~-5;+13kg;+13kg;Tail spin, Homing
b, f+2, 1, 1+2;m, m, m(, Sm);12,9,13(,20);15~16 (15~);-14~-13;KND;KND;
f, f, f+2;m;24;15~16 (18~);-4~-3;KND;KND;
WS+1;m;12;12~13;-4~-3;+7~+8;+7~+8;
WS+1, 2;m, m;12,23;12~13;-13~-12;KND;KND;
WS+2;m?;20;18~19;-12~-11;Launch (JG?);Launch (JG?);
WS+3;m;20;15~16;-11~-10;-8;-8;
WS+3f;m;20;15~16;-11~-10;-8;-8;
WS+4;m;13;11~12;-3~-2;+8~+9;+8~+9;
WS+4, 4;m, h;13,16;11~12;-6~-5;+13~+14kg;+13~+14kg;Tail spin, Homing
FC+d/b or d+4;l;10;16~17s cs1~;-15~-14;-4~-3;-4~-3;
FC+d/f+4;l;10;12 cs1~;-15;-4;-4;
Opponent Down d+2;l(On grounded opponent);16;17~18;-13~-12;-2~-1;-2~-1;
2+3+4;(Special);;17~18;;;;
f+3+4 or f, f+3+4 or b+3+4, f;(RSS) (TJ);;a;;;;
RSS 1;m;25;19(35~) js1~10;-11;KND;KND;Wall bounce
RSS 2;h;20;15(28~) js1~8;-10;Launch (JG?);Launch (JG?);
RSS 3;m;20;23~27a (39~) js1~;-7~-3;+7s~+11s;+7s~+11s;
RSS 4;l;17;18(34~) js1~10;-31;+5s(KND);+5s(KND);
RSS 4, 2;l, m;17,20;18(34~) 1~10;-16~-15;KND;KND;
RSS 1+2;m;20;22(38~) js1~8;+4;+8;KND;
RSS 3+4;m, m;8, 14;19;-15;Launch;Launch;
RSS f+1+2;!;30;50(66~) js1~8;CS;CS;CS;
RSS 1+3;m(Throw), m;15;46(62~);;Throw(+8);;
