template;https://gfycat.com/ifr/{url}
WS+3, 2;KnobbyLavishFrog
Opponent down u (or ub+1);JitteryInexperiencedFeline
DB+1+2;ScaredImmediateCockatiel
f+3, 4;MindlessAdmirableJaguarundi
f, F+4;RightFormalBlackbird
f, F+1+2;RectangularHighlevelBrownbutterfly
f, F+1+4, N;DarkFrequentCod
INS f (or b);SourGracefulBufflehead
NSS+WS+2, 1, 2;FirsthandHilariousEasternglasslizard
BT 1, 2;AlienatedKindlyCony
BT 3;UnsteadyVictoriousBorderterrier
BT 1, 3;ImaginaryCarefulAmericanpainthorse
BT df or d or db+1;FrenchSilkyHerring
d+1+2;ThreadbareAjarKakarikis
INS 1+2;IcyJauntyCollardlizard
DGF 1+2;RashSoulfulCanine
POI d+1+2;CleverAccurateEft
FLE f (or b);SpiffyUnpleasantItalianbrownbear
FLE d;ScratchyGorgeousAfricanporcupine
FLE f, f;ComplexRealisticLcont
FLE 1;HeartyShinyGossamerwingedbutterfly
FLE 2;WelcomeCourteousArmadillo
FLE 1+2;TallLimpDrongo
FLE 3+4;AnguishedTatteredCoelacanth
FLE u+3+4;ElderlyAdoredArcticwolf
WFL 3;MarvelousCarefulAnophelesmosquito
WFL 4;AcidicGleefulKakapo
d+3+4;InferiorKeyFennecfox
While down (facing up) d+3+4;LiquidReadyIrishwaterspaniel
FLE d+3+4;HauntingFloweryGrayfox
DGF d+3+4;AgedFoolhardyDragonfly
NSS+u+1+2;IncomparableValuableCapeghostfrog
POI d+3+4;ParallelPerkyHectorsdolphin
INS n;LiquidReadyIrishwaterspaniel
INS 3+4*;BeneficialDarlingFlamingo
INS 2, DB+2, 2, 2, 2;FeistyCompassionateBluemorphobutterfly
INS 3, 3+4;GloomySpiffyHydra
INS 4;HairyUntidyDeermouse
1+2 (or FC+1+2);CoordinatedFineAustraliankelpie
KIN 1, 1;ClutteredObeseFish
KIN 2, 1+2;AfraidDeadlyAndalusianhorse
KIN 3;ScaredSparklingAmericankestrel
KIN 4 or SS+4;HardIlliterateCrayfish
KIN 1+2;SorrowfulFearlessGuanaco
KIN f+2;AnguishedCreepyAmericanbittern
KIN b+2, 1;PreciousCalculatingDoctorfish
u+1+2;SimplisticWarpedAiredale
WS+2, 1;ColdRequiredIrishredandwhitesetter
FLE u+1+2;GeneralWanConure
INS u+1+2;ChubbySnoopyBison
KIN u+1+2;GargantuanImperturbableJerboa
DGF 2;UnitedInexperiencedHeifer
DGF 1;FrailFeistyDogfish
DGF 3;FormalMadBoa
DGF 4;NegligibleFreshIrishsetter
3+4 (or BT 3+4);MemorableSecondhandHarpseal
MED 3;RespectfulBruisedAiredale
2+3;DearNimbleAnglerfish
NSS+1, 2, 1;NewQuaintAmmonite
NSS+2, 1;VainDependentIchneumonfly
NSS+1+2, 1;NewQuaintAmmonite
NSS+f+1+2;CornyCelebratedIberianlynx
NSS+WS+2, 1, 3;TanHandsomeHuemul
NSS+FC+DF+1, 2;OpenDimElephant
NSS+FC+DF+3;EmbellishedChubbyArcticduck
NSS+2+3;ComplicatedWellgroomedAbyssiniancat
b+1, 1, 1, 1, 1, 1;SandyColdDuckling
f+3+4;MindlessAdmirableJaguarundi
NSS+f+3+4;FavoriteImpoliteBumblebee
in rage b+1+2;SpiffyDigitalHog
in rage Time with enemy attack... ub+1+4;HonorableCrazyHawaiianmonkseal
in rage f, N, d, df+1+2;LameRecentDutchsmoushond
uf+1+2;ReflectingValuableAntlion
uf+1+2, d;MintyScratchyDanishswedishfarmdog
uf+1+2, d;MintyScratchyDanishswedishfarmdog
uf+1+2, b;YellowSardonicGoldfish
f, F+1+4;DarkFrequentCod
f, F+1+4, F;IncompleteQuickHalicore
d+1+4;HeartyFamousAfricanclawedfrog
d+1+4, B+1, 1, 1, 1, 1;DecentWeeGoa
qcf+1;MetallicPoliticalBuzzard
b, B+1+4;UnnaturalPrestigiousDarklingbeetle
ub+1+2;LawfulDisloyalBuck
ub+1+2, 1+2;HairyZealousGangesdolphin
ub+1+2, N, 1;OblongAptBudgie
FC+DF+1 or db, b+1;SharpFlusteredDegus
BDS 1 (or 2);AmusedPeacefulAmmonite
FLE uf;AlertShamefulCaterpillar
INS 1;RemarkableNegativeBorer
KIN b+1+2;ResponsiblePointlessBee
MED 1+2;OrdinaryHonorableColt
DGF 3+4;GreatInbornCollie
Approach enemy... 1+3;UnacceptableGregariousLangur
Approach enemy... 2+4;CompassionateLankyGibbon
Approach enemy... f+1+3;UnacceptableGregariousLangur
Approach enemy... f+2+4;CompassionateLankyGibbon
Approach enemy... qcf+2;FoolhardyCooperativeAnkolewatusi
Approach enemy... qcb+1+2;MasculineClutteredIndigobunting
Approach enemy... qcb, f+2;LawfulFocusedLeopard
Approach from left side... 1+3 or 2+4;DeadSnivelingAfricanaugurbuzzard
Approach from right side...  1+3 or 2+4;AffectionateShyHammerheadshark
Approach from behind... 1+3 or 2+4;PortlyBestButterfly
