Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
u/b or u or u/f+1;m;12;18 js9~;-12;-1;-1;
u/b or u+2;h;17;13;-7;5;throw;
u/b or u+2 (counter hit);h;17,25;13;;;throw;
u/f+2;l;19;35 js10~;-14;8;KND;
u/f+2, D;(cancel);;35 js10~;;;;
u/b+3;(special);;js6~;;;;
u+3;(special);;;;;;
u/f+3;m;13;15 js9~;-13;Launch;Launch;
u/f+3, 4;m, h;13,20;15 js9~;-13;Launch;Launch;
u/b, u or u/f+4;m;22 (20);24;-7;KND;KND;
u+1+2;m!;21;51;D;KND;KND;
u/b+3+4;m;25;19 js9~;-17;Launch;Launch;
u+3+4;m, m;10,12;39 js12~;+5s;KND;KND;
u/f+3+4;(MUS);;;-;;;
MUS 2;25;l;25;-18;KND;JG;
MUS 4;m;30;13;-14;KND;KND;
u/f, N, 4;m;25;24 js9~;-14;KND;KND;
u/b,b;(special);;js10~;-;;;
u/b,b+3;m (TJ);30;68;±0;KND;KND;
FC 1;sm (TC);5;10;-5;6;6;
FC 2;sm (TC);8;11;-4;7;7;
FC 3;m (TC);12;16;-17;-3;-3;
FC 4;m (TC);10;12;-15;-4;-4;
WS 1;m;11;13;-7;4;4;
WS 1, 1;m, m;11,15;13;-8;+3s;KND;
WS 2;m;14;14;-9;1;1;
WS 2, 4;m, h;14,20;14;-9;+11k;KND;Tail spin
WS 2, 4,F;m, l (SET);14,20;14;-9;+11k;KND;Tail spin
WS 3;m;16;15 js9~;-13;Launch;Launch;
WS 4;m;15;11;-6;5;5;
FC d/f+2;m (TC);16;22;-13;2;+15g;
FC d/f+3;m (TC);20;18;-26;KND;KND;
SS 2;m;13;17;-6;5;5;
SS 2, B;m (BT);13;17;-5;6;6;
SS 2, 1+2;m, m, m;13,10,20;17;-10;KND;KND;
SS 4;l;23;24;-37;KND;KND;
1+3+4 or BT 1+2+3;;;;;;;
2+3+4 or BT 2+3+4;;;;;;;
1+2+3+4;(special);;;;;;
(back agains wall) b, b, u/b;21;m;37;-3;KND;KND;
BT 1;h (BT);15;15;-6;5;5;
BT 1, 2;h, m;15,12;15;-8;3;3;
BT 1, 2, 1;h, m, m (TJ);15,14,21;15;-11;KND;KND;
BT 1, 2, 2;h, m , m;15,14,24;15;-9;KND;KND;
BT 1, 2, 4;h, m, m (TJ);15,14,23;15;3;KND;KND;
BT 1, 3;h, m;15,12;15;-6;1;1;
BT 1, 3, F;h, m (SET);15,12;15;1;8;8;
BT 2;h;12;12;-6;2;2;
BT 2, 3;h, h;12,20;12;-6;KND;KND;
BT 3;m (BT);20;24 js6~;-3;KND;KND;
BT 4;h;17;13;-3;+16k;KND;
BT 1+2;m, m;10, 15;14;-2;7;7;
BT 3+4 (counters h);m!;25;3~12;;KND;KND;
BT f+1+2;m;21;16;-12;KND;KND;
BT d+1;sm (TC);20;10 cs1~;-2;9;9;
BT d+2;l;20;17 cs6~;-13;+3s;KND;
BT d+3;l;12;10 cs1~;-11;3;3;
BT d+4;l, l;10, 10;20 cs4~;-14;+1s;+1s;
1+2;(KAT);;;;;;
KAT 1;m;14;15;-5;6;12;
KAT 2;m;21;22;-11;KND;KND;
KAT 3;m;10;;-6;+2s;+2s;
KAT 3, 2;m, m;10,15;18;-16;Launch;Launch;
KAT 4;h (TC);16;22 js1~;-16;-2;-2;
KAT 4, 2;h, l;16,23;22 js1~;-9;KND;Tail spin;Tail spin
KAT F;(SET);;;;;;
KAT B;(BT);;;;;;
KAT U;(special);;;;;;
f+3;(SET);;;;;;
SET 1;h;10;10;-3;8;8;
SET 1, 2;h, h;10,13;10;-6;8;8;
SET 1, 2, 1;h, h, m (TJ);10,13,21;10;-11;KND;KND;Tail spin
SET 1, 2, 2;h, h, m (TJ);10,13,24;10;-9;KND;KND;
SET 1, 2, 3;h, h, m (TJ);10,13,23;10;-4;KND;KND;
SET 1, 2, 4;h, h, m (TJ);10,13,23;10;+3s;KND;KND;
SET 2;m;17;12;-9;+12k;;Tail spin
SET 2 (counter hit);m;17,10;12;;;KND;
SET 3;l;17;18 cs6~;-16;0s;KND;
SET 4;m ;16;18;-8;6;6;
SET 4, 3;m, m (TJ);16,23;18;-13;KND;KND;
SET 3+4;(special);;js 8~;;;;
SET D;(special);;;;;;
SET B;(special);;;;;;
SET u/f+4;m;12;13 js11~;-14;;;
SET u/f+4 (hit in front);m;12,25;13 js11~;;throw;throw;
b+1+3 or b+2+4 (counters h);;35;3~12;;throw;;
