Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
u/f+3;m (TJ) (CRA);23;16 js6;-2;11;JG;
u/b+4;m (TJ);20;15 js12;-18;KND;KND;
u/b+4,f;m (TJ) (CRA);20;15 js12;-27;KND;KND;
u/b+4, b;m (TJ) (Special);20;15 js12;-28;KND;KND;
u+4;m (TJ);15;15 js9;-13;KND;JG;
u/f+4;m (TJ);13;15 js9;-13;KND;KND;
u+1+2;(Special);;js8;;;;
u+1+2, d;(Special);;js8;;;;
u+1+2, 1+2;m;25;;-8;KND;KND;Wall Bounce
u+1+2, 4;l (TC) (Special);20;62;-11;KND;KND;
u/b or u+3+4;m (TJ);25;21 js9;-17;KND;KND;
u/f+3+4;m (TJ);10,16;33 js9;-1;KND;KND;
u/f, N, 4;m (TJ);25;23 js9;-11;JG;JG;
f, N, 1;m;9;12;-2;7 (11);7(11);
f, N, 1, u or d;m (Special);9;12;-11;-2(2);-2(2);
f, N, 1, 2;m, m;9,9;12;-12;1;1;
f, N, 1, 2, u or d;m, m (Special);9,9;12;-10;3;3;
f, N, 1, 2, 1;m, m, m;9,9,9;12;-12;1;1;
f, N, 1, 2, 1, u or d;m, m, m (Special);9,9,9;12;-11;2;2;
f, N, 1, 2, 1, 2;m, m, m, m;9,9,9,9;12;-14;1;1;
f, N, 1, 2, 1, 2, u or d;m, m, m, m (Special);9,9,9,9;12;-13;2;2;
f, N, 1, 2, 1, 2, 4;m, m, m, m, m;9,9,9,9,12;12;-9;KND;KND;
f, N, 1, 2, 1, 2, 4, u or d;m, m, m, m, m (Special);9,9,9,9,12;12;-11;KND;KND;
f, N, 1, 2, 1, 2, 3;m, m, m, m, l;9,9,9,9,12;12;-17;-6;KND;
f, N, 2;h;10;12;2;7;7;
f, N, 2, 1;h, m;10,12;;0;2;2;
f, N, 2, 1, 2;h, m, m;10,-,21;;-17;KND;JG;
f, N, 2, 1, 2, 1;h, m, m, m;10,-,21,25;;5;KND;KND;
f, N, 3;h;30;15;5;KND;KND;Tail spin
f, N, 4;h;18;10;-11;0;0;
f, N, 4, 1;h, m;18,12(5);;-1;5;5;
f, N, 4, 1, F;h, m (Special);18,12(5);;-3;3;3;
f, N, 4, 1, 2;h, m, m;18,12,8;;-10;-4;-4;
f, N, 4, 1, 2, 3;h, m, m, l;18,12,8,20;;-6;KND;KND;
f, N, 4, 1, 2, 3, 4;h, m, m, h, m;18,12,8,20,20;;-7;KND;KND;
f, N, 4, 1, 2, 3, d+4;h, m, m, h, l (TC);18,12,8,20,20;;-12;KND;KNd;
f, N, 4, 1, 2, 2;h, m, m, m;18,12,8,10;;-12;-1;-1;
f, N, 4, 1, 2, 2, F;h, m, m, m (special);18,12,8,10;;-4;7;7;
f, N, 4, 1, 2, 2, 2;h, m, m, m, l (TC);18,12,8,10,15;;-17;-1;-1;
f, N, 4, 1, 2, 2, 2, F;h, m, m, m, l (Special);18,12,8,10,15;;-14;2;2;
f, F+2;m;24;18 pc6;-12;+7k;+7k;Tail spin, power crush
f, F+3 or f, f, f+3;m;15;16;-14;JG;JG;
f, F+3,B or f, f, f+3, B;m (BT);15;;-8;JG;JG;
f, F+3, 4;m, h;15,24;;-13;KND;KND;
f, F+4;h;21;15;-6;+5y;+5y;
f, F+4, 3+4;h, h (TJ);21,21;;-3y;KND;KND;Tail spin
f, F+4, 3+4, F;h (CRA);21;;-25;-14y;-14y;
f, F+4, 3+4, B;h (special);21;;-21;-10y;-10y;
f, F+3+4;m (TJ) (special);25;24 js9;2;KND;KND;
f, F+3+4, D;m (TJ) (special);25;24 js9;1;KND;KND;
f, f, f+1;m (TJ);30;22 js3;+8g;KND;KND;
FC+1;sm (TC);5;10 cs1;-5;6;6;
FC+2;sm (TC);8;11 cs1;-4;7;7;
FC+d/b or d+3;l (TC);12;15 cs1;-18;-4;-4;
FC+d/f+3;l (TC);12;16 cs1;-17;-3;-3;
FC+4;l (TC);10;12 cs1;-15;-4;-4;
WS+1;m;12;11;-3;8;8;
WS+2;m;12;14;-5;6;6;
WS+2, 1;m, m;15,15;;-9;4;4;
WS+3;m;25;10;-16;-5;-5;
WS+4;m;15;11;-4;7;7;
WS+3+4;m;20;16;-15;JG;JG;
FC+d/f+2;l (TC);10;18 cs1;-12;-1;-1;
FC+d/f+2, 1;l, l;10,1;;-13;0;0;
FC+d/f+2, 1, 4;l, l, m (special);10,10,18;;0;9;11;
FC+d/f+2, 1, 4, B;l, l (special);10,1;;-28;-15;-15;
SS+1;h;21;16;-5;6;6;
SS+1, F;h (special);21;;-1;10;10;
SS+1, u or d;h (special);21;;-2;9;9;
SS+2;m;12;18;-7;-9;KND;
SS+2, 2;m, h;12, 20;;5;5;5;
SS+4;m;16;21;-8;JG;JG;
SS+3+4;m (TJ);15;24 js13;-4s;+1s;+1s;
SS+3+4, D;m (TJ) (special);15;24 js13;-46s;-41s;-41s;
Grounded 3+4;m ;20;30;-5;KND;KND;
1+3+4;;;;;;;
2+3+4;;;;;;;
Back against wall b, b, u/b;;21;35F;1;KND;KND;
f+3+4;(DRU);;;;;;
DRU d;(special);;;;;;
DRU F;(high punch parry);;;;;;
DRU F,d;(Special);;;;;;
DRU F, b;(Special);;;;;;
DRU b;(Blocks mid and high);;;;;;
DRU 1;m;25;18;-11;KND;KND;
DRU 1, F;m (special);25;;-21;KND;KND;
DRU 2;m;12;18;-7s;-9s;KND;
DRU 2, b;m (special);12;;+1s;-1s;KND;
DRU 2, f;m (special);12;;-48s;44s;KND;
DRU 2, F+4;m (special);17;18;-12;JG;JG;
DRU 2, 2;m, h;12, 20;;5;5;5;
DRU 2, 2, F;m,h;12, 20;;2;2;2;
DRU 3;l;10;17;-12;1;1;
DRU 3, F;l (Special);10;;-22;-9;-9;
DRU 3, 2;l, m;10, 20;;-1s;KND;KND;
DRU 3, 2, F;l, m (special);10, 20;;-8s;KND;KND;
DRU 3, 2, 4;l, m, m;10,20,18;;-21;KND;KND;
DRU 3, 2, 4, B;l, m, m (special);10,20,18;;-28;KND;KND;
DRU 3, 2, 4, F;l, m, m (special);10,20,18;;-27;KND;KND;
DRU 3, 1+2;l, h;10, 15;;-9;KND;KND;Tail Spin
DRU 4;m;17;18;-12;JG;JG;
DRU 4, F;m (special);17;;-18;JG;JG;
DRU 1+2;(TC) (special) (recover healt);;;;;;
DRU 1+2, 1+2;(special) (recover health);;;;;;
DRU 1+2, 1+2, 1+2;(Special) (recover health);;;;;;
DRU 3+4;l (TC) (Special);23;29 cs4;-12 or -13;KND;KND;
DRU b+1+2;m (TC) (special);25;29;+14 (+16 wc);CS;CS; Wall crush
DRU u/b+1+2;;;;;;;
DRU u/b+1+2, 1;m (speical);25;18;-11;KND;KND;
DRU u/b+1+2, 1, F;m (special);25;;-21;KNd;KND;
DRU u/f+1+2;m (TJ) (special);21 js16;30;-9s;-6s;KND;
d+1+2 or BT d+1+4;(FCD RLX);;;;;;
FCD RLX 3;l;21;24;-37;KND;KND;
FCD RLX 3~4 (clean);l (TC) (special);12;24 cs10;-26;KND;KND;
FCD RLX 3~4;l (TC) (Special);8;24 cs10;-26;-10s;-10s;
FCD RLX 3~4, D (clean);l (TC) (Special);12;24 cs10;-26;KND;KND;
FCD RLX 3~4, D;l (TC) (Special);8;24 cs 10;-26;-1s;-1s;
FCD RLX 3~4, 4;l, h;8,3;;-11;KND;KND;
FCD RLX 4;m;10;23;-15;KND;KND;
FCD RLX 4~3;m (TJ);20;21;-16;+4k;+4k;Tail spin
FCD RLX 4~3, D;m (TJ);20;;-17;-3k;-3k;Tail spin
FCD RLX 3+4;m, m;5, 20;27;-7;KND;KND;
d+1+4 or BT d+1+2;(SLD RLX);;;;;;
SLD RLX 3;l;10;26;-20;+1s;KND;
SLD RLX 4;m;15;26;-19;KND;KND;
SLD RLX 4~3;l (TC);15;24 cs6;-24;KND;KND;
SLD RLX 4~3, D;l (TC);15;;-25;KND;KND;
SLD RLX 3+4;m, m;5,21;18;-20;KND;KND;
SLD RLX 3+4, D;m, m;5,21;;-15;KND;KND;
SLD RLX d, 3+4;l;23;29;-42;KND;KND;
d+3+4 or BT d+2+3;(KND RLX);;;;;;
KND RLX 3;l;14;19;-37;KND;KND;
KND RLX 4;m;17;25;-8;+11k;+11k;Homing, Tail spin
KND RLX 3+4;(SIT SNA);;;;;;
KND RLX F+1+2;m;15;50;+2;KND;KND;
KND RLX b+3+4;m;20;30;-5;KND;KND;
SIT SNA 1;m (special);25;21;-10;KND;KND;
SIT SNA 4;l (special);14;24;-29;KND;KND;
d+2+3 or BT d+3+4;(PLD RLX);;;;;;
PLD RLX 3 (clean);l (TC);12;20 cs4;-26;KND;KND;
PLD RLX 3;l (TC);8;20 cs4;-26;+2s;+2s;
PLD RLX 3, 4;l, h;8,3;;-11;KND;KND;
PLD RLX 3, u or d (clean);l (TC);12;20 cs4;-26;KND;KND;
PLD RLX 3, u or d;l (TC);8;20 cs4;-26;+8s;+8s;
PLD RLX 3, F (clean);l (TC) (Special);12;20 cs4;-26;KND;KND;
PLD RLX 3, F;l (TC) (Special);8;20 cs4;-26;+6s;+6s;
PLD RLX 4;m;20;22;-12;KND;KND;
PLD RLX  3+4;m (Special);12,14;21;-26;KND;KND;
b+3+4 or B+3+4;(Special);;;;;;
BT F;;;;;;;
BT f;;;;;;;
BT 1;h;12;16;-5;6;6;
BT 1, 1;h, m;12, 10;16;-7;4;4;
BT 1, 1, 3;h, m, l;12,10,7;;-18;-7;-7;
BT 1, 1, 3, 2;h, m, l, h;12,10,7,16;;-17;KND;KND;
BT 1, 1, 3, 2, F;h, m, l, h (DRU);12,10,7,16;;-56;KND;KND;
BT 2;m;20;20;-10;KND;KND;Homing, Tail spin
BT 3;h;18;10;-8;KND;KND;
BT 4;m;15;14;-14;-3;-3;
BT 4, B;m (BT);20;;-7;4;4;
BT 4, 1;m, h;15,21;;-6;KND;KND;Tail spin
BT 4, 3;m, m;15,17;;-12;JG;JG;
BT 4, 4;m, m (TJ);15,2;;-3s;+1s;KND;
BT 1+2;h;12;10;-6;5;5;
BT 1+2, 2;h, m (RLX);12,18;;-19;-3s;+5s;
BT 3+4;m (TJ) (BT);15;32 js10;-4;KND;KND;
BT 3+4, F;m (TJ);15;32 js10;-12;KND;KND;
BT 3+4, 3+4;m, m (TJ) (BT);15,15;;-9;KND;KND;
BT 3+4, 3+4, F;m, m (TJ);15,15;;-12;KND;KND;
BT 3+4, 3+4, 3+4;m, m, m (TJ) (BT);15,15,15;;-9;KND;KND;
BT 3+4, 3+4, 3+4, F;m, m, m (TJ);15,15,15;;-17;KNd;KND;
BT d+1;l (TC);12;12 cs6;-6;5;KND;
BT d+2;sm (TC);10;10 cs1;-2;9;9;
BT d+3;l (TC);12;10 cs1;-11;3;3;
BT d+4 (clean);l (TC);12;20 cs6;-26;KND;KND;
BT d+4 (clean);l (TC);8;20 cs6;-26;+2s;+2s;
BT d+4, 4;l, h;8,3;20 cs6;-11;KND;KND;
BT d+4, u or d (clean);l (SNA);12;20 cs6;-26;KND;KND;
BT d+4, u or d;l (SNA);8;20 cs6;-26;+8s;+8s;
BT d+4, F (clean);l (DRU);12;20 cs6;-26;KND;KND;
BT d+4, F;l (DRU);8;20 cs6;-26;+6s;+5s;
BT u/b or u or u/f+2;m (TJ) (RLX);25;32 js17;-14;-3s;-3s;
BT u/b or u or u/f+2;m (TJ) (grounded);25;;-15;-4s;-4s;
b+1+4;(PHX);;;;;;
PHX d/b;(cancel stance);;;;;;
PHX F;(DRU);;;;;;
PHX 1;h;24;30;-10;KND;KND;
PHX 1, F;h (DRU);24;;-20;KND;KND;
PHX 1, D;h (RLX);24;;-21;KND;KND;
PHX 1, D+2;h, l (RLX);24,14;;-15;0s;0s;
PHX 2;m;23;18;-12;KND;KND;Tail spint, Power crush
PHX 3;h;28;14;-14;-4;-2;Tail spin
PHX 3, B;h (PHX);28;;-6;4;6;
PHX 3, 3;h, l (BT);28,17;;-13;KND;KND;
PHX 4;l (SNA);19;25;-14;2;+12kg;
PHX 1+2;(DRU);;;;;;
PHX f+4;m! (TJ);45;65;KND;KND;KND;
PHX b+3;m;17;14;-7;KND;KND;
PHX  b+4;m;25;39 js23;4s;+7s;+7s;
PHX u or d+2+3;(SNA);;;;;;
3+4;(SNA) h/m punch parry;;;;;;
b or f+2+3;(SNA);;;;;;
SS+1+4 or SS+2+3;(SNA);;;;;;
SNA u;(DGN);;;;;;
SNA d, N;(PAN);;;;;;
SNA 1;h;10;11;-6;5;5;
SNA 1, 1;h, h;10,9;;-6;5;5;
SNA 1, 1, 1;h, h, h;10,9,8;;-6;5;5;
SNA 1, 1, 1, 1;h, h, h, h;10,9,8,7;;-6;5;5;
SNA 1, 1, 1, 1, 1;h, h, h, h, h;10,9,8,7,6;;-6;5;5;
SNA 1, …, 1, F;(SNA);;;-7;4;4;
SNA 1, 2;h, m (SNA);10,13;;-13;-2;-2;
SNA 1, 2, 1;h, m, m (SNA);10,13,10;;-10;1;1;
SNA 1, 2, 1, f;h, m, m (PAN);10,13,10;;-6;5;5;
SNA 1, 2, 1, 2;h, m, m, h (SNA);10,13,10,20;;-8;KND;KND;
SNA 2;m;15;15;-10;+1s;+1s;
SNA 2, F;m (DGN);15;;-5;+6s;+6s;
SNA 2, 2;m, m;15, 10;;-12;0;-1;
SNA 2, 2, F;m, m (DGN);15, 10;;-4;7;7;
SNA 2, 2, 2;m, m, l (TC);15,10,15;;-17;-1;-1;
SNA 2, 2, 2, F;m, m, l (PAN);15,10,15;;-14;2;2;
SNA 3;m (TC) (RLX);30;28 cs4;-7;JG;JG;
SNA 3, d;m (TC) (grounded);30;;-9;JG;JG;
SNA 4;l;11;15;-13;-2;-2;
SNA 4, 1;l,h;11,13;12;-20;+3;+3;
SNA 4, 1, F;l,h (TGR);11,13;15;-20;+6;+6;
SNA 1+2;m;25;21;-9;KND;KND;
3+4, 1;(DRG) m/h punch parry;;;;;;
DRG u;(TGR);;;;;;
DRG d;(SNA);;;;;;
DRG d+3+4;(RLX);;;;;;
DRG 2;m;18;17;4;KND;JG;
DRG 2, F;m (TGR);18;;3;KND;JG;
DRG 3;l (TC);14;16 cs4;-13;+4s;+2s;
DRG 3, F;l (TC) (CRA);14;;-20;-3s;-3s;
DRG 4;h;18;10;-11;0;0;
DRG 1+2;hh;5, 20;18;-2;KND;KND;Tail spin
DRG f+1+2;m;32;17;-5s;KND;KND;
DRG f+1+2, F;m (TGR);32;;-11s;KND;KND;
3+4, 2;(PAN) h/m punch parry;;;;;;
PAN u;(SNA);;;;;;
PAN d;(CRA);;;;;;
PAN f;low parry;;;;;;
PAN 1;l (TC);12;12;-12;+3s;+3s;
PAN 1~2;l, h;12, 30;;-24;KND;KND;
PAN 2;m;21;15;-10;JG;JG;
PAN 3;l (TJ) (PAN);18;20 js10;-12;-1;+14g;
PAN 3, B;l (TJ) (PHX);18;20 js10;-7;4;+19g;
PAN 4;h (TC);26;23;-13;2;KND;
3+4, 3;(TGR) m/h punch parry;;;;;;
TGR u;(SNA);;;;;;
TGR d;(DRA);;;;;;
TGR f ;h/m parry;;;;6;;
TGR 1;m;22;16;+2s;+2s;JG;
TGR 2;m ;12;15;-14;-3;-3;KND
TGR 2, 2;m, h;12;;-8;KND;KND;Tail spin
TGR 3;m (TJ);28;17 js8;-12;KND;KND;Tail spin
TGR 3, F;m (SIT SNA);28;;-11;KND;KND;Tail spin
TGR 4;l (TC);12;15 cs6;-26;KND;KND;KND
TGR 1+2;m;25;25;-7;KND;KND;Wall Bounce
3+4, 4;(CRA) m/h punch parry;;;;;;
CRA d/b;(cancel stance);;total 18;;;;
CRA u ;(PAN);;total 30;;;;
CRA d/b;(SNA);;Total 26;;;;
CRA 1;m ;23;22;5;KND;KND;
CRA 2;h;21;16;-9;+10k;KND;Homing, Tail spin
CRA 3;m;21;14;-5;6;6;
CRA 3, 4;m, l;21,1;;-13;0;0;
CRA 3, 4, 2;m, l, m;21,10,10;;-16;-5;-5;
CRA 3, 4, 2, 3;m, l, m, m;21,10,10,15;;-12;KND;KND;
CRA 4;l;20;21;-19;KND;KND;
CRA 1+2;h;20;13;-2;KND;KND;
CRA u/b or u or u/f+4;m (TJ) special);25;13 js10;-2;JG;JG;
