Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;
d/f+1, 3~1;m,m;10,20;13;0s;+7s;Launch;;
d/f+1, 4~3;m,l;10,15;13;-23;-4;KDN;;
d/f+1, 4~3, 1;m,l,m;10,15,25;13;-16;Launch;Launch;;
d/f+2;m;10;15;-7;4;4;;
d/f+2, 1;m,m;10,22;15;-13s;KDN;KDN;;
d/f+2, 3;m,h;10,11;15;-11;KDN;KDN;;
d/f+3;l;19;20;-12;-1;-1;;
d/f+4;m;15;16;-8;8;8;;
d/f+4, 3;m,h;15,20;16;;-9;KDN;KDN;
d/f+4, 3~3;m,m;15,20;16;;+1s;KDN;KDN;
d+1;m;20;18;-5;+8s;KDN;;
d+2;sm (TC);13;12 cs4;-9;2;2;;
d+3;l;11;16;-16;-5;-5;;
d+3, 4;l,h;11,16;16;-9;6;KDN;;
d+3, 4, 3;l,h,h;11,16,16;16;-7;6;6;;
d+3, 4, 3~1;l,h,h;11,16,20;16;-4Sd;KDN;KDN;Tail spin;
d+3, 4, 3~4;l,h,m;11,16,20;16;-5;KDN;KDN;;
d+3, 4, 3~4*;l,h,m;11,16,25;16;+14g;Launch;Launch;;
d+3, 4, 4l,h,l;11,16,18(,20);-16;16;-5;Throw;;;
d+4;l;18;14;-16;-5;+10g;;
d+3+4 (Absorbs punch h/m);h;20;18;-13;KDN;KDN;;
d/b+1;sm (TC);5;10 cs4;-5;6;6;;
d/b+2;m;16;16;-10;1;1;;
d/b+2, 2;m,m;16,16;16;-13;1;1;;
d/b+4;l;21;21;-14;+5c;+5c;;
d/b+3+4;m;25;30;-9;KDN;KDN;;
b+1;m;20;14;-15;KDN;KDN;;
b+2;h;15;14;-15;-4;-4;;
b+2, 1;h,h;15,20;14;-9;KDN;KDN;;
b+2, 1*;h,m;15,20;14;14;KDN;KDN;;
b+2, 3;h,l;15,23;14;-14;+2c;KDN;;
b+3;h;27;16;-7;KDN;KDN*;51;Homing, Tail spin
b+4;m;14;14;-5;6;6;;
b+4, 2;m,m;14,14;14;-9;2;2;;
b+4, 3, 2;m,m,m;14,14,27;14;-12;KDN;KDN;;
b+1+4;m!;50;60;KDN;KDN;KDN;;
u/b+1;m (TJ);20;28 js9;-5;KDN;KDN;58;
u or u/f+1;m (TJ);20;28 js9;-5;Launch;Launch;58;
u/b or u or u/f+1;h;17;15;-12;9;9;;
u/b+3;m (TJ);18;23 js9;-8;KDN;KDN;;
u or u/f+3;m (TJ);20;23 js9;-8;KDN;KDN;;
u/b or u or u/f+4;h (TJ);25;20 js9;-6;KDN;KDN;;
u/f, N, 4;m (TJ);25;23 js9;-11;Launch;Launch;;
f, F+2;m;18;15;-9;0;0;;
f, F+2, 2;m,m;18,22;15;-14;KDN;KDN;;
f, F+3;m;25;25;5;KDN;KDN;;
f, F+4;m;25;22;-13;KDN;KDN;Homing, Tail Spin;
f+, F+4~1;m;20;39;0s;+7s;Launch;;
f, F+4~3;l;15;37;-23;-4;KDN;;
f, F+4~3, 2;m;15,25;37;-16;Launch;Launch;;
f, F+1+2;m;22;18;-14;Launch;Launch;;
b, f, 4;h;20;18;6;KDN;KDN;;
f, f, f+3;m (TJ);30;19~24 js3;+9~14g;KDN;KDN;;
FC+1;sm (TC);5;10;-5;6;6;;
FC+2;sm (TC);13;12;-9;2;2;;
FC+d/b or d+3;l (TC);12;16;-17;-3;-3;;
FC+4;l (TC);10;12;-15;-4;-4;;
WS+1;m;12;13;-4;7;7;;
WS+1, 2;m, h;12,20;13;-9;KDN;KDN;;
WS+2;m;13;16;-9;7;7;;
WS+2, 4;m,m;13,20;16;-10;6;6;;
WS+2, 4~3;m,m;13,25;16;-7;KDN;KDN;;
WS+2, 4~3*;m,m;13,25;16;14;KDN;KDN;;
WS+2, 4~4;m,h;13,25;16;6;KDN;KDN;Homing, Tail spin;
WS+3;m (TJ);20;15 js15;-13;Launch;Launch;;
WS+4;m;20;11;-6;5;5;;
FC+d/f+3;l (TC);15;19;-23;-4;KDN;;
FC+d/f+3, 2;l (TC),m;15,25;19;-16;Launch;Launch;;
SS+4;m (TJ);20;15 js9;-13;Launch;Launch;;
1+2+3;(special);;;;;;;
b, b, u/b (back agains wall);m;25;29~33;-1~+2;KDN;KDN;;
BT 1 or 2;h;15;8;-8;3;3;;
BT 3 or 4;h;18;10;-8;KDN;KDN;;
BT d+1 or d+2;sm (TC);10;10 cs1;-2;9;9;;
BT d+3 or d+4;l (TC);12;10 cs1;-11;3;3;;

